epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.638,0.59048,2.32248,0.86381,0.62215,0.76156,0.68451,0.61702,0.44917,0.89026,0.8082,0.00033209,0.00033209,0.00033209
2,200.758,0.52459,1.29506,0.84876,0.8545,0.75028,0.7534,0.67327,0.43615,0.70524,0.81287,0.000652248,0.000652248,0.000652248
3,294.939,0.5101,0.93843,0.84767,0.6788,0.8158,0.83178,0.73212,0.45136,0.69156,0.81552,0.000959205,0.000959205,0.000959205
4,388.523,0.50589,0.77341,0.84669,0.72647,0.89075,0.83162,0.75485,0.39696,0.57644,0.80324,0.0009406,0.0009406,0.0009406
5,483.398,0.48848,0.69189,0.84853,0.81408,0.79747,0.88406,0.78716,0.39812,0.71925,0.79988,0.0009208,0.0009208,0.0009208
6,577.941,0.48376,0.63654,0.84814,0.82178,0.84605,0.87964,0.77907,0.45791,0.47877,0.81056,0.000901,0.000901,0.000901
7,672.485,0.46655,0.57841,0.84588,0.87,0.83108,0.86347,0.78934,0.38697,0.36292,0.79982,0.0008812,0.0008812,0.0008812
8,767.034,0.46846,0.55931,0.84472,0.83353,0.94666,0.87433,0.79461,0.40217,0.38895,0.80246,0.0008614,0.0008614,0.0008614
9,862.56,0.45525,0.52518,0.84334,0.82821,0.87869,0.87951,0.80955,0.37635,0.33763,0.79538,0.0008416,0.0008416,0.0008416
10,957.184,0.46457,0.51807,0.85311,0.85907,0.89035,0.9035,0.82575,0.36491,0.29491,0.7952,0.0008218,0.0008218,0.0008218
11,1051.39,0.44548,0.50755,0.8449,0.86178,0.89237,0.88114,0.80201,0.37175,0.3276,0.79556,0.000802,0.000802,0.000802
12,1145.53,0.44555,0.47883,0.84118,0.89019,0.88624,0.90251,0.81504,0.38746,0.29465,0.79771,0.0007822,0.0007822,0.0007822
13,1239.66,0.44182,0.4518,0.84163,0.83883,0.87575,0.89126,0.81269,0.38584,0.33975,0.79857,0.0007624,0.0007624,0.0007624
14,1335.22,0.44285,0.46018,0.83983,0.83786,0.87254,0.89994,0.82898,0.35954,0.33866,0.79235,0.0007426,0.0007426,0.0007426
15,1428.54,0.43454,0.44693,0.84039,0.85844,0.87474,0.88679,0.82065,0.35857,0.2912,0.79355,0.0007228,0.0007228,0.0007228
16,1523.4,0.42877,0.44671,0.83985,0.87382,0.8815,0.89071,0.81201,0.36775,0.27056,0.79559,0.000703,0.000703,0.000703
17,1618.78,0.43441,0.42562,0.83601,0.8521,0.93887,0.88296,0.81231,0.35911,0.24294,0.7939,0.0006832,0.0006832,0.0006832
18,1714.18,0.42886,0.41222,0.83889,0.84145,0.9431,0.87808,0.80351,0.36916,0.28482,0.7929,0.0006634,0.0006634,0.0006634
19,1808.96,0.42911,0.40716,0.83807,0.85511,0.92639,0.8794,0.81225,0.35403,0.22642,0.79197,0.0006436,0.0006436,0.0006436
20,1903.23,0.41878,0.3943,0.83586,0.82499,0.89575,0.87519,0.8125,0.35324,0.28553,0.79127,0.0006238,0.0006238,0.0006238
21,1997.04,0.41965,0.41132,0.83711,0.85724,0.90177,0.8909,0.82363,0.35883,0.25545,0.79339,0.000604,0.000604,0.000604
22,2091.58,0.41755,0.37584,0.83624,0.84804,0.91503,0.86049,0.79542,0.35812,0.2372,0.79285,0.0005842,0.0005842,0.0005842
23,2192.23,0.41077,0.36094,0.83453,0.85428,0.95701,0.86451,0.80184,0.35572,0.22945,0.79206,0.0005644,0.0005644,0.0005644
24,2288.82,0.411,0.36551,0.8354,0.84372,0.95231,0.8776,0.8164,0.35138,0.22726,0.79233,0.0005446,0.0005446,0.0005446
25,2386.12,0.41205,0.35773,0.83475,0.85969,0.91082,0.88575,0.81992,0.35084,0.2082,0.79114,0.0005248,0.0005248,0.0005248
26,2481.71,0.40827,0.35073,0.83433,0.87277,0.8865,0.89254,0.82334,0.35863,0.23923,0.79248,0.000505,0.000505,0.000505
27,2578.05,0.41042,0.34675,0.8341,0.92503,0.88305,0.90436,0.84106,0.34816,0.21651,0.79043,0.0004852,0.0004852,0.0004852
28,2673.91,0.41223,0.35334,0.83578,0.95797,0.85553,0.8814,0.82002,0.35024,0.21074,0.79038,0.0004654,0.0004654,0.0004654
29,2769.63,0.40114,0.34044,0.83234,0.89146,0.88897,0.9175,0.85171,0.34642,0.23011,0.78986,0.0004456,0.0004456,0.0004456
30,2865.53,0.40189,0.33937,0.83092,0.85852,0.95805,0.88394,0.81854,0.34472,0.208,0.79009,0.0004258,0.0004258,0.0004258
31,2961.67,0.39207,0.33357,0.82933,0.88108,0.88384,0.89354,0.83448,0.34111,0.19439,0.78799,0.000406,0.000406,0.000406
32,3058.35,0.39026,0.32181,0.83015,0.90782,0.87445,0.91632,0.84903,0.34544,0.23697,0.78904,0.0003862,0.0003862,0.0003862
33,3153.74,0.39308,0.31679,0.82984,0.89996,0.91148,0.90755,0.84661,0.34312,0.19227,0.78914,0.0003664,0.0003664,0.0003664
34,3251.28,0.3955,0.32342,0.82873,0.84795,0.89596,0.90438,0.837,0.33814,0.27009,0.78609,0.0003466,0.0003466,0.0003466
35,3347.54,0.38761,0.31234,0.8271,0.88998,0.88555,0.89617,0.83423,0.33896,0.18327,0.78816,0.0003268,0.0003268,0.0003268
36,3444.52,0.38965,0.31164,0.83321,0.89755,0.91308,0.90569,0.84461,0.33724,0.1886,0.7885,0.000307,0.000307,0.000307
37,3540.67,0.38708,0.2977,0.82432,0.87823,0.8979,0.9033,0.83892,0.34242,0.19604,0.78864,0.0002872,0.0002872,0.0002872
38,3636.14,0.38149,0.29878,0.82647,0.88772,0.89827,0.89187,0.83258,0.33712,0.18537,0.78669,0.0002674,0.0002674,0.0002674
39,3728.78,0.37857,0.28462,0.82642,0.8874,0.91341,0.89702,0.83578,0.33677,0.18133,0.78619,0.0002476,0.0002476,0.0002476
40,3822.58,0.38148,0.29683,0.83118,0.86766,0.96898,0.89925,0.83575,0.34194,0.19221,0.7876,0.0002278,0.0002278,0.0002278
41,3915.13,0.35964,0.24464,0.81756,0.92807,0.8724,0.9032,0.84303,0.33413,0.17801,0.78655,0.000208,0.000208,0.000208
42,4005.74,0.35455,0.2434,0.81605,0.88596,0.91403,0.89177,0.83509,0.3379,0.17573,0.78653,0.0001882,0.0001882,0.0001882
43,4095.79,0.35423,0.24165,0.81516,0.88326,0.91406,0.89408,0.83424,0.3324,0.1769,0.78554,0.0001684,0.0001684,0.0001684
44,4188.31,0.35471,0.24039,0.81652,0.88539,0.8994,0.89393,0.83345,0.3317,0.17066,0.78594,0.0001486,0.0001486,0.0001486
45,4277.32,0.34749,0.22695,0.81405,0.90066,0.89951,0.90731,0.8481,0.32865,0.16835,0.7857,0.0001288,0.0001288,0.0001288
46,4367.93,0.34512,0.22335,0.8114,0.89235,0.89866,0.89198,0.83553,0.32875,0.16882,0.78491,0.000109,0.000109,0.000109
47,4460.28,0.34261,0.2191,0.81344,0.88359,0.89914,0.88685,0.83406,0.32985,0.16907,0.78528,8.92e-05,8.92e-05,8.92e-05
48,4549.02,0.3415,0.21516,0.81456,0.88481,0.89978,0.90021,0.84731,0.3259,0.16456,0.78447,6.94e-05,6.94e-05,6.94e-05
49,4641.24,0.34106,0.21054,0.81394,0.87474,0.91387,0.89271,0.83818,0.33022,0.16511,0.785,4.96e-05,4.96e-05,4.96e-05
